year,total_imports_usd,hhi,top1_share,top3_share,malaysia_share,yoy_growth,rolling_volatility_3yr,la_teu_annual,la_total_imports_annual,la_total_exports_annual,la_yoy_change,la_stress_index,ny_teu_annual,ny_total_imports_annual,ny_total_exports_annual,ny_yoy_change,ny_stress_index,port_total_teu,port_concentration_index,Semi_Value_China,Semi_Value_HongKong,Semi_Value_Japan,Semi_Value_Korea,Semi_Value_Malaysia,Semi_Value_Singapore,Total_Semi_Value,Share_China,Share_HongKong,Share_Japan,Share_Korea,Share_Malaysia,Share_Singapore
2005,11535213990,0.252751211,0.300965097,0.824645161,0.300965097,-0.073872516,0.140854923,7484624.45,3956053.3,3528571.15,,,3385004,2408122,977883,,,10869628.45,0.688581444,2414387587,225978196,3583637498,3148047519,3529102368,1562079904,14463233072,0.1669327718761663,0.015624320985152413,0.2477756861249591,0.21765863160253165,0.24400508174290175,0.10800350766828878
2006,12066184148,0.250503694,0.286857325,0.805055598,0.267755509,0.046030369,0.114047168,8469853.0,4487350.4,3982502.6,0.131633665,,3808278,2508993,1299285,0.12504387,,12278131.0,0.689832435,2923955057,159587375,4128394743,3198562735,3304262464,2022735423,15737497797,0.18579542279951178,0.010140581244778426,0.26232853508560844,0.20324468198557805,0.2099611073260886,0.12852967155843473
2007,11304097907,0.253048243,0.311092674,0.790262846,0.255868322,-0.063158844,0.066349791,8355038.5,4484585.65,3870452.85,-0.013555666,1.03108246,4097495,2619592,1477903,0.075944298,1.088719138,12452533.5,0.670950895,3030519115,102097973,4167855334,2627261154,2933571381,1782881854,14644186811,0.2069434891887354,0.0069719114019570535,0.2846081785073453,0.17940642166805257,0.20032326948987322,0.12174672974403646
2008,11213248860,0.253998419,0.307560227,0.805768986,0.262168553,-0.008036824,0.054595456,7849985.2,4211159.35,3638825.85,-0.060448949,0.954410265,4165214,2548974,1616240,0.016526927,1.035179808,12015199.2,0.653337916,3035423933,105728749,4183392758,2738405824,2986650214,1422300222,14471901700,0.20974603033684233,0.007305795132646596,0.2890700092303695,0.18922225155799668,0.20637579468909742,0.09828011905304747
2009,8823960777,0.24883314,0.270010353,0.76944205,0.247980443,-0.213077237,0.106109639,6748994.55,3565091.2,3183903.35,-0.14025385,0.882067071,3638107,2245035,1393072,-0.1265498,0.917106945,10387101.55,0.649747624,3267326475,54074547,2989298000,2298868010,2234288852,985210343,11829066227,0.27621169856520744,0.004571328451655307,0.2527078589835678,0.1943406153862596,0.1888812531034957,0.08328724550981416
2010,14417856722,0.25161984,0.278019234,0.788037766,0.278019234,0.633943881,0.441894703,7831902.3,4079131.5,3752770.8,0.160454678,1.047471377,4097422,2579094,1518328,0.126251097,1.032899038,11929324.3,0.656525223,6411517428,68331699,4250724411,3139002068,4090977190,1628129842,19588682638,0.3273072286934868,0.0034883253898576943,0.21699899322244562,0.16024569523172852,0.20884391592847246,0.08311584153400893
2011,18342206223,0.266630316,0.330727872,0.819978505,0.299373159,0.272186746,0.425008653,7940510.95,4240035.1,3700205.85,0.013867467,1.057728409,4304954,2683691,1621265,0.050649408,1.072619927,12245464.95,0.648445035,9651416159,59963435,4219614145,3431320235,5571012979,1864559358,24797886311,0.38920317796274295,0.002418086535601264,0.1701602343070763,0.13837148021272738,0.22465676748137908,0.07519025350047304
2012,16769165737,0.266515391,0.340264862,0.813505669,0.340264862,-0.085760702,0.359853972,8077714.3,4209813.35,3867900.95,0.017278907,1.016059258,5529909,2817806,2712108,0.284545433,1.190739854,13607623.3,0.593616837,7131311593,57134496,4062697381,3416620872,5789616550,1687305309,22144686201,0.32203263249121894,0.002580054442018688,0.18346150151436955,0.15428626267215806,0.26144495783094707,0.07619459104928772
2013,17592228120,0.280347183,0.392797767,0.831092736,0.392797767,0.049081892,0.18077826,7868582.05,4110715.3,3757866.75,-0.025890028,0.988233624,5467347,2804001,2663346,-0.011313387,1.071873997,13335929.05,0.590028788,6661610992,53181667,3817826602,3589293496,6982577704,1458184394,22562674855,0.2952491685853353,0.0023570639271174305,0.1692098399917309,0.15908102736341098,0.3094747297859778,0.06462817034642766
2014,19544697013,0.319865781,0.467259293,0.857884979,0.467259293,0.110984742,0.100600909,8340065.65,4429914.15,3910151.5,0.059919767,1.030215927,5772303,2969636,2802667,0.055777693,1.032639499,14112368.65,0.590975608,7470069157,62402637,3568385591,3024545075,9210989485,1313882637,24650274582,0.30304202625210336,0.002531518940789704,0.14476048042100467,0.12269823059936899,0.37366681066206064,0.05330093312467265
2015,23087127746,0.372037614,0.54279713,0.88370675,0.54279713,0.181247667,0.06612694,8160457.9,4279630.0,3880827.9,-0.021535532,1.004606985,6371720,3237604,3134116,0.103843648,1.085387451,14532177.9,0.561544041,8481595246,71766743,3367300042,2922026587,12614847265,1303186879,28760722762,0.29490202023734524,0.002495303876536147,0.11707981297497269,0.10159781488039366,0.43861370833376,0.045311339696992275
2016,25959945191,0.392021079,0.569290673,0.902036498,0.569290673,0.124433731,0.037295168,8856782.8,4670534.35,4186248.45,0.085329146,1.04783797,6251953,3228885,3023068,-0.018796651,1.019563137,15108735.8,0.586202772,9062226379,87077187,3165441259,3492314612,14891690573,928636710,31627386720,0.2865309884508852,0.0027532210539840643,0.10008545084751788,0.1104205871613031,0.47084796176293126,0.029361790723378488
2017,25307814133,0.4036879,0.58443546,0.904926701,0.58443546,-0.025120664,0.106600679,9343192.95,4851549.2,4491643.75,0.054919508,1.063320096,6710817,3416960,3293857,0.073395305,1.041271376,16054009.95,0.581984998,8133883767,93657393,3133921677,3420588816,14972668549,791423540,30546143742,0.2662818533069417,0.003066095471528342,0.10259631145161394,0.11198103580246029,0.4901655893281562,0.025909114639299534
2018,26997909413,0.439923529,0.624267785,0.908782937,0.624267785,0.066781559,0.07542801,9458748.5,5035293.65,4423454.85,0.012367887,1.02594195,7179792,3692912,3486880,0.069883443,1.069346392,16638540.5,0.568484267,8860683633,115819806,3238846191,3240846027,17081411376,857521553,33395128586,0.2653286275027131,0.003468164696588541,0.09698558826204964,0.09704547232552464,0.5114941040580666,0.02567804315505743
2019,26551895744,0.527288808,0.705651168,0.91856965,0.705651168,-0.016520304,0.050759539,9337632.4,4863844.7,4473787.7,-0.012804664,0.995498274,7471131,3788479,3682652,0.040577638,1.049230681,16808763.4,0.555521675,5467273896,39700491,2974787911,3329348708,18939669650,765963047,31516743703,0.17347204227445565,0.0012596634783758136,0.09438754012892638,0.10563745859579673,0.6009399266776784,0.024303368844767102
2020,26253741807,0.51504462,0.69478233,0.927706664,0.69478233,-0.011229102,0.046642006,9213397.95,4876351.25,4337044.7,-0.013304706,0.986805144,7585819,1321043,2344090,0.015350822,1.023416875,16799216.95,0.548442108,4974458414,36861191,2788185111,3498282017,18547440281,955939985,30801166999,0.16150227081206053,0.001196746571361947,0.09052206077420774,0.1135762816101603,0.6021668036669574,0.031035836565252085
